N,max_iter,prom_iter
2,20.0,14.42
3,36.0,17.74
4,46.0,23.32
5,54.0,29.08
6,80.0,37.62
7,70.0,42.02
8,126.0,50.12
9,108.0,51.28
10,114.0,62.66
11,142.0,68.64
12,154.0,69.28
13,174.0,81.46
14,162.0,79.5
15,212.0,93.18
16,192.0,99.58
17,206.0,104.58
18,226.0,100.12
19,226.0,121.4
20,232.0,111.96
21,268.0,142.2
22,242.0,132.0
23,248.0,137.14
24,342.0,150.62
25,312.0,149.08
26,340.0,159.66
27,400.0,161.1
28,400.0,170.72
29,370.0,177.9
30,362.0,189.12
31,542.0,184.8
32,404.0,192.56
33,392.0,190.4
34,410.0,225.6
35,486.0,212.72
36,432.0,217.36
37,466.0,228.12
38,600.0,245.48
39,476.0,223.2
40,564.0,249.26
41,520.0,266.32
42,478.0,254.18
43,624.0,270.94
44,570.0,256.76
45,558.0,290.4
46,552.0,273.52
47,564.0,297.64
48,714.0,303.0
49,648.0,288.38
50,738.0,299.18
51,696.0,307.86
52,630.0,287.22
53,678.0,313.98
54,620.0,315.58
55,810.0,321.06
56,704.0,298.92
57,910.0,382.98
58,672.0,340.94
59,726.0,377.08
60,888.0,360.52
61,754.0,363.7
62,732.0,390.66
63,742.0,411.06
64,760.0,400.96
65,796.0,382.56
66,794.0,446.16
67,830.0,401.86
68,858.0,413.74
69,886.0,405.86
70,876.0,425.42
71,884.0,429.56
72,900.0,432.6
73,840.0,420.74
74,878.0,438.5
75,1044.0,441.18
76,1192.0,487.32
77,980.0,476.68
78,1078.0,507.1
79,1160.0,514.48
80,954.0,480.9
81,960.0,467.72
82,948.0,505.02
83,992.0,536.68
84,976.0,523.98
85,1274.0,511.16
86,1384.0,592.64
87,1296.0,478.28
88,1174.0,517.58
89,1050.0,530.34
90,1402.0,578.64
91,1142.0,540.16
92,1216.0,605.62
93,1254.0,594.46
94,1286.0,539.02
95,1086.0,591.3
96,1140.0,583.86
97,1398.0,608.48
98,1462.0,658.24
99,1476.0,647.06
100,1266.0,618.22
